260,gentle,Adjective,|gentle  more|gentle  most|
261,glad,Adjective,|glad  more|glad  most|
262,glorious,Adjective,|glorious  more|glorious  most|
263,good,Adjective,|better|best|
264,gracious,Adjective,|gracious  more|gracious  most|
265,gray,Adjective,|grayer|grayest|
266,great,Adjective,|greater|greatest|
267,greedy,Adjective,|greedy  more|greedy  most|
268,green,Adjective,|greener|greenest|
269,guilty,Adjective,|guilty  more|guilty  most|
270,half,Adjective,|||
271,handsome,Adjective,|handsome  more|handsome  most|
272,happy,Adjective,|happier|happiest|
273,hard,Adjective,|harder|hardest|
274,healthy,Adjective,|healthier|healthiest|
275,heavy,Adjective,|heavier|heaviest|
276,high,Adjective,|higher|highest|
277,holy,Adjective,|holier|holiest|
278,honest,Adjective,|honest  more|honest  most|
279,horizontal,Adjective,|horizontal  more|horizontal  most|
280,hot,Adjective,|hotter|hottest|
281,how many,Adjective,|||
282,how much,Adjective,|||
283,human,Adjective,|human  more|human  most|
284,humble,Adjective,|humble  more|humble  most|
285,hundreds,Adjective,|||
286,hungry,Adjective,|hungrier|hungriest|
287,important,Adjective,|important  more|important  most|
288,impure,Adjective,|impure  more|impure  most|
289,infectious,Adjective,|infectious  more|infectious  most|
290,inner,Adjective,|inner  more|inner  most|
291,innocent,Adjective,|innocent  more|innocent  most|
292,intelligent,Adjective,|intelligent  more|intelligent  most|
293,interested,Adjective,|interested  more|interested  most|
294,interesting,Adjective,|interesting  more|interesting  most|
295,jealous,Adjective,|jealous  more|jealous  most|
296,Jewish,Adjective,|Jewish  more|Jewish  most|
297,joyful,Adjective,|joyful  more|joyful  most|
298,just,Adjective,|just  more|just  most|
299,kind,Adjective,|kinder|kindest|
300,lame,Adjective,|lame  more|lame  most|
301,last,Adjective,|||
302,late,Adjective,|later|latest|
303,lazy,Adjective,|lazier|laziest|
304,left,Adjective,|||
305,less,Adjective,|||
306,life,Adjective,|||
307,light,Adjective,|lighter|lightest|
308,little,Adjective,|||
309,living,Adjective,|living  more|living  most|
310,lonely,Adjective,|lonelier|loneliest|
311,long,Adjective,|longer|longest|
312,lost,Adjective,|lost  more|lost  most|
313,loud,Adjective,|louder|loudest|
314,low,Adjective,|lower|lowest|
315,loyal,Adjective,|loyal  more|loyal  most|
316,lucky,Adjective,|lucky  more|lucky  most|
317,male,Adjective,|||
318,many,Adjective,|||
319,mature,Adjective,|mature  more|mature  most|
320,merciful,Adjective,|merciful  more|merciful  most|
321,middle,Adjective,|||
322,military,Adjective,|||
323,millions,Adjective,|||
324,miserable,Adjective,|miserable  more|miserable  most|
325,more,Adjective,|||
326,more than,Adjective,|||
327,most,Adjective,|||
328,mournful,Adjective,|mournful  more|mournful  most|
329,much,Adjective,|||
330,mute,Adjective,|mute  more|mute  most|
331,naked,Adjective,|naked  more|naked  most|
332,narrow,Adjective,|narrower|narrowest|
333,new,Adjective,|newer|newest|
334,next,Adjective,|||
335,nine,Adjective,|||
336,ninety,Adjective,|||
337,ninth,Adjective,|||
338,noble,Adjective,|noble  more|noble  most|
339,noisy,Adjective,|noisier|noisiest|
340,normal,Adjective,|normal  more|normal  most|
341,northeastern,Adjective,|||
342,northern,Adjective,|||
343,northwestern,Adjective,|||
344,old,Adjective,|older|oldest|
345,one,Adjective,|||
346,one and a half,Adjective,|||
347,one eighth,Adjective,|||
348,one fifth,Adjective,|||
349,one fourth,Adjective,|||
350,one half,Adjective,|||
351,one hundred,Adjective,|||
352,one tenth,Adjective,|||
353,one third,Adjective,|||
354,one thousand,Adjective,|||
355,only,Adjective,|||
356,only,Adjective,|||
357,only,Adjective,|||
358,open,Adjective,|open  more|open  most|
359,ordinary,Adjective,|ordinarier|ordinariest|
360,other,Adjective,|||
361,overwhelmed,Adjective,|overwhelmed  more|overwhelmed  most|
362,paralyzed,Adjective,|paralyzed  more|paralyzed  most|
363,patient,Adjective,|patient  more|patient  most|
364,peaceful,Adjective,|peaceful  more|peaceful  most|
365,perfect,Adjective,|perfect  more|perfect  most|
366,perverse,Adjective,|perverse  more|perverse  most|
367,physical,Adjective,|||
368,pleasant,Adjective,|pleasant  more|pleasant  most|
369,pleased,Adjective,|pleased  more|pleased  most|
370,poisonous,Adjective,|poisonous  more|poisonous  most|
371,poor,Adjective,|poorer|poorest|
372,possible,Adjective,|||
373,powerful,Adjective,|powerful  more|powerful  most|
374,precious,Adjective,|precious  more|precious  most|
375,pregnant,Adjective,|pregnant  more|pregnant  most|
376,previous,Adjective,|||
377,prosperous,Adjective,|prosperous  more|prosperous  most|
378,proud,Adjective,|prouder|proudest|
379,prudent,Adjective,|prudent  more|prudent  most|
380,public,Adjective,|public  more|public  most|
381,pure,Adjective,|purer|purest|
382,purple,Adjective,|||
383,quiet,Adjective,|quiet  more|quiet  most|
384,rainy,Adjective,|||
385,raw,Adjective,|rawer|rawest|
386,ready,Adjective,|readier|readiest|
387,real,Adjective,|real  more|real  most|
388,rebellious,Adjective,|rebellious  more|rebellious  most|
389,red,Adjective,|redder|reddest|
390,religious,Adjective,|religious  more|religious  most|
391,responsible,Adjective,|responsible  more|responsible  most|
392,rich,Adjective,|richer|richest|
393,right,Adjective,|||
394,righteous,Adjective,|righteous  more|righteous  most|
395,ripe,Adjective,|riper|ripest|
396,Roman,Adjective,|||
397,rough,Adjective,|rougher|roughest|
398,round,Adjective,|rounder|roundest|
399,royal,Adjective,|||
400,rude,Adjective,|ruder|rudest|
401,sacred,Adjective,|sacred  more|sacred  most|
402,sad,Adjective,|sadder|saddest|
403,safe,Adjective,|safer|safest|
404,same,Adjective,|||
405,satisfied,Adjective,|satisfied  more|satisfied  most|
406,scarlet,Adjective,|||
407,second,Adjective,|||
408,secret,Adjective,|||
409,secure,Adjective,|secure  more|secure  most|
410,selfish,Adjective,|selfish  more|selfish  most|
411,sensible,Adjective,|sensible  more|sensible  most|
